System,Status,HD,Active,REG,Time
Aizawa,SUCCESS,0.26444731188512005,3,0.1,156.32
AnishchenkoAstakhov,SUCCESS,0.02405480951477603,3,0.1,137.01
Arneodo,SUCCESS,2.2039202416493073,2,0.3,137.2
ArnoldBeltramiChildress,SUCCESS,1.876841525854742,13,0.3,136.3
ArnoldWeb,POOR,24.06561996691674,21,0.1,163.48
AtmosphericRegime,POOR,15.561666623852942,18,0.3,154.34
BeerRNN,SUCCESS,0.016848729288917872,13,0.1,132.5
BelousovZhabotinsky,SUCCESS,1.762486493194411,1,0.3,190.07
BickleyJet,SUCCESS,3.281330566446229,4,0.1,139.68
Blasius,SUCCESS,0.012269964336559634,2,0.1,137.97
BlinkingRotlet,SUCCESS,2.81200698960344,5,0.1,133.68
BlinkingVortex,POOR,8.284984268832707,9,0.1,142.43
Bouali,SUCCESS,0.05926195845233947,3,0.3,141.12
Bouali2,SUCCESS,0.020473241245551388,1,0.1,142.51
BurkeShaw,SUCCESS,0.02287442321094109,2,0.1,141.01
CaTwoPlus,SUCCESS,0.008122302708808446,5,0.1,137.56
CaTwoPlusQuasiperiodic,SUCCESS,1.86772285901643,3,0.1,142.75
CellCycle,SUCCESS,0.5882090449415476,3,0.3,162.32
CellularNeuralNetwork,SUCCESS,0.011220083190460224,1,0.3,190.08
Chen,POOR,7.956683725276965,21,0.1,197.43
ChenLee,SUCCESS,0.05488916887611064,2,0.3,145.33
Chua,SUCCESS,0.14218207602898225,4,0.1,150.63
CircadianRhythm,EXPLODED,58.80055508853619,4,0.1,139.77
CoevolvingPredatorPrey,SUCCESS,0.3121309078787619,1,0.3,213.95
Colpitts,SUCCESS,0.622542999752804,5,0.1,133.3
Coullet,SUCCESS,0.5976768396045155,3,0.3,129.57
Dadras,SUCCESS,0.03603869049839302,3,0.1,130.31
DequanLi,SUCCESS,0.057982928786599705,2,0.1,146.11
DoubleGyre,POOR,19.65759939010213,20,0.1,130.14
DoublePendulum,POOR,32.89356837285177,21,0.3,227.37
Duffing,SUCCESS,0.1472988080183243,21,0.1,146.65
DynSysDelay,FAILED,999.0,0,0.0,0.0
ExcitableCell,SUCCESS,0.10468332303420144,6,0.3,165.46
Finance,SUCCESS,0.2964355033503152,3,0.1,143.5
FluidTrampoline,SUCCESS,0.5426344466766753,21,0.1,140.7
ForcedBrusselator,SUCCESS,0.6348089768071185,2,0.1,125.71
ForcedFitzHughNagumo,SUCCESS,0.1928794203295877,20,0.1,132.13
ForcedVanDerPol,SUCCESS,1.6737373016837145,12,0.3,129.33
GenesioTesi,SUCCESS,3.4074161748092084,5,0.3,131.24
GlycolyticOscillation,SUCCESS,0.2548871701067594,2,0.3,128.42
GuckenheimerHolmes,SUCCESS,0.09376940838749795,2,0.1,125.98
Hadley,SUCCESS,0.14138720981275624,2,0.1,130.89
Halvorsen,SUCCESS,0.027060290221214398,2,0.1,127.56
HastingsPowell,SUCCESS,0.04338951224005273,2,0.1,134.52
HenonHeiles,SUCCESS,0.09540463725473249,2,0.1,177.26
HindmarshRose,SUCCESS,0.028255238319086058,1,0.3,131.31
Hopfield,POOR,23.05470218959548,4,0.1,145.52
HyperBao,SUCCESS,0.0598565526357766,2,0.1,125.45
HyperCai,SUCCESS,4.9905561160749405,3,0.1,128.91
HyperJha,SUCCESS,0.4760164733668666,4,0.1,147.42
HyperLorenz,SUCCESS,2.929623583404671,2,0.1,125.94
HyperLu,SUCCESS,0.873274724507341,3,0.1,128.39
HyperPang,POOR,27.152392544792736,19,0.1,130.99
HyperQi,SUCCESS,0.3029233337545074,2,0.3,127.57
HyperRossler,POOR,21.383693326674234,2,0.3,124.9
HyperWang,SUCCESS,1.208949682858643,2,0.3,681.42
HyperXu,POOR,11.570434266371235,2,0.1,152.91
